Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;COLOMBO;4105805;4105805;De 70 a 74 anos;16;16;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CONTENDA;4106209;4106209;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CONTENDA;4106209;4106209;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CONTENDA;4106209;4106209;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CONTENDA;4106209;4106209;De 5 a 9 anos;2;2;Masculino;1;1;X;X
